Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,0,2.54328251361518E-10,2.54328251361518E-10,2.54328251361518E-10,3.46120239760175E-10
0,0,1.24024861882918E-09,5.37441068074518E-09,6.45557140319033E-09,6.45557140319033E-09,6.45557140319033E-09,6.54736341283632E-09
0,0,9.92193019508196E-09,4.29950308385717E-08,4.98639829849111E-08,4.98639829849111E-08,4.98639829849111E-08,4.99557763331227E-08
0,0,3.34861839112496E-08,1.45106796925853E-07,1.67685290690444E-07,1.67685290690444E-07,1.67685290690444E-07,1.67777098167656E-07
0,0,7.93735614110487E-08,3.43952099393586E-07,3.97122376347907E-07,3.97122376347907E-07,3.97122376347907E-07,3.97214255360213E-07
0,0,1.55023733060057E-07,6.71769509820735E-07,7.75373913159824E-07,7.75373913159824E-07,7.75373913159824E-07,7.7546603710629E-07
0,0,2.67875194238872E-07,1.16079250818432E-06,1.33963304544768E-06,1.33963304544768E-06,1.33963304544768E-06,1.33972582861452E-06
0,0,4.25364971685827E-07,1.84324821034381E-06,2.12708611095282E-06,2.12708611095282E-06,2.12708611095282E-06,2.12718040219463E-06
0,0,6.34928329893515E-07,2.75135609575798E-06,3.17491140567209E-06,3.17491140567209E-06,3.17491140567209E-06,3.17500876613528E-06
0,0,9.03998477578842E-07,3.91732673551894E-06,4.52027799127445E-06,4.52027799127445E-06,4.52027799127445E-06,4.52038107139916E-06
0,0,1.24000627423219E-06,5.37336052072696E-06,6.20034454506412E-06,6.20034454506412E-06,6.20034454506412E-06,6.20045757607929E-06
0,0,1.65037993675665E-06,7.1516463912526E-06,8.25225825247328E-06,8.25225825247328E-06,8.25225825247328E-06,8.25238766757388E-06
0,0,2.14254474621676E-06,9.28436056496854E-06,1.07131537420992E-05,1.07131537420992E-05,1.07131537420992E-05,1.07133089424663E-05
0,0,2.7239227546968E-06,1.18036652674508E-05,1.36201520631954E-05,1.36201520631954E-05,1.36201520631954E-05,1.36203463439871E-05
