Time,Velocity_J1,Velocity_J2,Velocity_J3,Velocity_J4,Velocity_J5,Velocity_J6
0,0,0,0,0,0,0
0.05,4.1341566224099E-07,4.1341566224099E-07,4.1341566224099E-07,4.1341566224099E-07,4.1341566224099E-07,4.1341566224099E-07
0.1,1.65364632802046E-06,1.65364632802046E-06,1.65364632802046E-06,1.65364632802046E-06,1.65364632802046E-06,1.65364632802046E-06
0.15,3.72064303515664E-06,3.72064303515664E-06,3.72064303515664E-06,3.72064303515664E-06,3.72064303515664E-06,3.72064303515664E-06
0.2,6.61432418215716E-06,6.61432418215716E-06,6.61432418215716E-06,6.61432418215716E-06,6.61432418215716E-06,6.61432418215716E-06
0.25,1.03345755314441E-05,1.03345755314441E-05,1.03345755314441E-05,1.03345755314441E-05,1.03345755314441E-05,1.03345755314441E-05
0.3,1.48812502138696E-05,1.48812502138696E-05,1.48812502138696E-05,1.48812502138696E-05,1.48812502138696E-05,1.48812502138696E-05
0.35,2.02541687344967E-05,2.02541687344967E-05,2.02541687344967E-05,2.02541687344967E-05,2.02541687344967E-05,2.02541687344967E-05
0.4,2.64531189797047E-05,2.64531189797047E-05,2.64531189797047E-05,2.64531189797047E-05,2.64531189797047E-05,2.64531189797047E-05
0.45,3.34778562255515E-05,3.34778562255515E-05,3.34778562255515E-05,3.34778562255515E-05,3.34778562255515E-05,3.34778562255515E-05
0.5,4.13281031474389E-05,4.13281031474389E-05,4.13281031474389E-05,4.13281031474389E-05,4.13281031474389E-05,4.13281031474389E-05
0.55,5.00035498310604E-05,5.00035498310604E-05,5.00035498310604E-05,5.00035498310604E-05,5.00035498310604E-05,5.00035498310604E-05
0.6,5.95038537846365E-05,5.95038537846365E-05,5.95038537846365E-05,5.95038537846365E-05,5.95038537846365E-05,5.95038537846365E-05
0.65,6.98286399524335E-05,6.98286399524335E-05,6.98286399524335E-05,6.98286399524335E-05,6.98286399524335E-05,6.98286399524335E-05
0.7,8.09775007295709E-05,8.09775007295709E-05,8.09775007295709E-05,8.09775007295709E-05,8.09775007295709E-05,8.09775007295709E-05
0.75,9.29499959781188E-05,9.29499959781188E-05,9.29499959781188E-05,9.29499959781188E-05,9.29499959781188E-05,9.29499959781188E-05
0.8,0.000105745653044461,0.000105745653044461,0.000105745653044461,0.000105745653044461,0.000105745653044461,0.000105745653044461
0.85,0.000119363966777968,0.000119363966777968,0.000119363966777968,0.000119363966777968,0.000119363966777968,0.000119363966777968
0.9,0.000133804399550933,0.000133804399550933,0.000133804399550933,0.000133804399550933,0.000133804399550933,0.000133804399550933
0.95,0.000149066381279794,0.000149066381279794,0.000149066381279794,0.000149066381279794,0.000149066381279794,0.000149066381279794
1,0.000165149309447646,0.000165149309447646,0.000165149309447646,0.000165149309447646,0.000165149309447646,0.000165149309447646
1.05,0.000182052549128024,0.000182052549128024,0.000182052549128024,0.000182052549128024,0.000182052549128024,0.000182052549128024
1.1,0.000199775433009968,0.000199775433009968,0.000199775433009968,0.000199775433009968,0.000199775433009968,0.000199775433009968
1.15,0.000218317261424368,0.000218317261424368,0.000218317261424368,0.000218317261424368,0.000218317261424368,0.000218317261424368
1.2,0.000237677302371587,0.000237677302371587,0.000237677302371587,0.000237677302371587,0.000237677302371587,0.000237677302371587
1.25,0.000257854791550357,0.000257854791550357,0.000257854791550357,0.000257854791550357,0.000257854791550357,0.000257854791550357
1.3,0.000278848932387959,0.000278848932387959,0.000278848932387959,0.000278848932387959,0.000278848932387959,0.000278848932387959
1.35,0.000300658896071655,0.000300658896071655,0.000300658896071655,0.000300658896071655,0.000300658896071655,0.000300658896071655
1.4,0.000323283821581429,0.000323283821581429,0.000323283821581429,0.000323283821581429,0.000323283821581429,0.000323283821581429
1.45,0.000346722815723955,0.000346722815723955,0.000346722815723955,0.000346722815723955,0.000346722815723955,0.000346722815723955
1.5,0.000370974953167884,0.000370974953167884,0.000370974953167884,0.000370974953167884,0.000370974953167884,0.000370974953167884
1.55,0.000396039276480355,0.000396039276480355,0.000396039276480355,0.000396039276480355,0.000396039276480355,0.000396039276480355
1.6,0.0004219147961648,0.0004219147961648,0.0004219147961648,0.0004219147961648,0.0004219147961648,0.0004219147961648
1.65,0.000448600490700007,0.000448600490700007,0.000448600490700007,0.000448600490700007,0.000448600490700007,0.000448600490700007
1.7,0.000476095306580448,0.000476095306580448,0.000476095306580448,0.000476095306580448,0.000476095306580448,0.000476095306580448
1.75,0.000504398158357873,0.000504398158357873,0.000504398158357873,0.000504398158357873,0.000504398158357873,0.000504398158357873
